Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint,-1.48646497049023E-05,-0.0699504697089703,0.0336398375939533,0,0,0,0.663888543779534,0.0147565243588015,-2.23931009486062E-08,2.30754751654723E-10,0.00953829359596686,4.22087841491067E-10,0.0242929962596585,0,0,0,0,0,0,package://realbots29/meshes/base_footprint.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/base_footprint.STL,,无悬挂四轮四转底盘520x580-1/底盘底板-1,base_footprint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_Link,-0.000556246756379108,-0.0420143028118891,0.103092216993187,0,0,0,30.8414587537086,0.289553810145328,-0.000423512179498631,-0.00105718893390604,0.434645083407322,-0.000816400342984657,0.607575916470218,0,0,0,0,0,0,package://realbots29/meshes/base_Link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/base_Link.STL,,无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/后板-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/铭牌-1;无悬挂四轮四转底盘520x580-1/装配体1-1/千兆网口TC6-1;无悬挂四轮四转底盘520x580-1/装配体1-1/941尾插小车端30a母端-1;无悬挂四轮四转底盘520x580-1/装配体1-1/typeC口TUC-1;无悬挂四轮四转底盘520x580-1/装配体1-1/22mm开关-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/上板1.0408-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/灯罩-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/电池右板-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/上板2-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/前板-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘组合-1/实体11-1;上身-腿部-1/小腿转接组件-1/小腿转接件外壳-1;上身-腿部-1/小腿转接件-1;上身-腿部-1/小腿转接组件-1/小腿连接件1-1;上身-腿部-1/小腿转接组件-1/小腿连接件2-1;上身-腿部-1/小腿转接组件-1/小腿转接件外壳3-1;无悬挂四轮四转底盘520x580-1/装配体1-1/底盘380x420-1,base_link,base_joint,base_joint,fixed,0,0,0.0349999999999999,0,0,0,base_footprint,0,0,0,,,,,,,,,,,,
front_right_steer_link,0.0213387795579084,2.96962090215458E-05,0.024393959555002,0,0,0,1.73185064776854,0.00152914856037648,-6.86619853033334E-07,0.000360871182392569,0.00163947747960438,-2.07151735831446E-06,0.00101174562004097,0,0,0,0,0,0,package://realbots29/meshes/front_right_steer_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://realbots29/meshes/front_right_steer_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-15/轮毂电机固定件0325-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-15/RMC15003-轴承外圈固定件（RB4010）-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-15/RMC15002-关节输出轴-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-15/RBH4010UUCC0P4-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-15/WHJ30_model-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-15/轮毂电机固定件配件-1,front_right_steer_link,front_right_steer_joint,front_right_steer_joint,continuous,-0.189748626504666,-0.279950691997449,0.118000000000001,-3.14159265358979,0,0,base_Link,0,0,-1,,,,,,,,,,,,
front_right_wheel_link,-1.34065810741824E-06,0,-0.0652137173264332,0,0,0,0.80746295324025,0.00106310840544939,1.04596652144724E-19,-5.65230070384631E-08,0.00106310245007344,-7.54851920687274E-20,0.00149275426647363,0,0,0,0,0,0,package://realbots29/meshes/front_right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/front_right_wheel_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-15/202017-UM8050NB0A2533F30-S-1,front_right_wheel_link,front_right_wheel_joint,front_right_wheel_joint,continuous,0.0582336403301727,0,0.0880000000000001,0,-1.5707963267949,0,front_right_steer_link,0,0,-1,,,,,,,,,,,,
front_left_steer_link,-0.0213387795579084,-2.96962090215458E-05,0.0243939595550022,0,0,0,1.73185064776854,0.00152914856037648,-6.86619853033876E-07,-0.00036087118239257,0.00163947747960439,2.07151735831473E-06,0.00101174562004097,0,0,0,0,0,0,package://realbots29/meshes/front_left_steer_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://realbots29/meshes/front_left_steer_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-14/轮毂电机固定件0325-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-14/RMC15002-关节输出轴-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-14/RMC15003-轴承外圈固定件（RB4010）-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-14/RBH4010UUCC0P4-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-14/WHJ30_model-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-14/轮毂电机固定件配件-1,front_left_steer_link,front_left_steer_joint,front_left_steer_joint,continuous,0.189718654155679,-0.279950691997467,0.118,3.14159265358979,0,0,base_Link,0,0,-1,,,,,,,,,,,,
front_left_wheel_link,-1.34065810741824E-06,-5.55111512312578E-17,-0.0652137173264332,0,0,0,0.80746295324025,0.00106310840544939,2.78177109696134E-20,-5.65230070385464E-08,0.00106310245007344,-6.70004822212957E-20,0.00149275426647363,0,0,0,0,0,0,package://realbots29/meshes/front_left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/front_left_wheel_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-14/202017-UM8050NB0A2533F30-S-1,front_left_wheel_link,front_left_wheel_joint,front_left_wheel_joint,continuous,-0.0582336403301727,0,0.088,3.14159265358979,-1.5707963267949,0,front_left_steer_link,0,0,-1,,,,,,,,,,,,
rear_right_steer_link,0.0213387795579085,2.96962090216438E-05,0.0243939595550018,0,0,0,1.73185064776854,0.00152914856037648,-6.86619853033507E-07,0.00036087118239257,0.00163947747960439,-2.07151735831395E-06,0.00101174562004097,0,0,0,0,0,0,package://realbots29/meshes/rear_right_steer_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://realbots29/meshes/rear_right_steer_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-4/轮毂电机固定件0325-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-4/RMC15002-关节输出轴-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-4/RMC15003-轴承外圈固定件（RB4010）-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-4/RBH4010UUCC0P4-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-4/WHJ30_model-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-4/轮毂电机固定件配件-1,rear_right_steer_link,rear_right_steer_joint,rear_right_steer_joint,continuous,-0.189748626504646,0.140049308002551,0.118000000000001,-3.14159265358979,0,0,base_Link,0,0,-1,,,,,,,,,,,,
rear_right_wheel_link,-1.34065810719619E-06,-3.46944695195361E-18,-0.0652137173264332,0,0,0,0.80746295324025,0.00106310840544939,1.26731333016474E-19,-5.65230070389091E-08,0.00106310245007343,-1.04873789770497E-20,0.00149275426647363,0,0,0,0,0,0,package://realbots29/meshes/rear_right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/rear_right_wheel_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-4/202017-UM8050NB0A2533F30-S-1,rear_right_wheel_link,rear_right_wheel_joint,rear_right_wheel_joint,continuous,0.0582336403301727,0,0.0879999999999997,0,-1.5707963267949,0,rear_right_steer_link,0,0,-1,,,,,,,,,,,,
rear_left_steer_link,-0.0213387795579085,-2.96962090216377E-05,0.0243939595550022,0,0,0,1.73185064776854,0.00152914856037648,-6.86619853033274E-07,-0.00036087118239257,0.00163947747960438,2.07151735831415E-06,0.00101174562004097,0,0,0,0,0,0,package://realbots29/meshes/rear_left_steer_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://realbots29/meshes/rear_left_steer_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-13/轮毂电机固定件0325-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-13/RMC15002-关节输出轴-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-13/RMC15003-轴承外圈固定件（RB4010）-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-13/RBH4010UUCC0P4-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-13/WHJ30_model-1;无悬挂四轮四转底盘520x580-1/60关节舵轮组件-13/轮毂电机固定件配件-1,rear_left_steer_link,rear_left_steer_joint,rear_left_steer_joint,continuous,0.189718654155699,0.140049308002533,0.118000000000001,3.14159265358979,0,0,base_Link,0,0,-1,,,,,,,,,,,,
rear_left_wheel_link,-1.34065810719619E-06,-8.67361737988404E-19,-0.0652137173264332,0,0,0,0.80746295324025,0.00106310840544939,1.25676849150886E-19,-5.65230070383568E-08,0.00106310245007344,-5.88398256597532E-20,0.00149275426647363,0,0,0,0,0,0,package://realbots29/meshes/rear_left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://realbots29/meshes/rear_left_wheel_link.STL,,无悬挂四轮四转底盘520x580-1/60关节舵轮组件-13/202017-UM8050NB0A2533F30-S-1,rear_left_wheel_link,rear_left_wheel_joint,rear_left_wheel_joint,continuous,-0.0582336403301727,0,0.088,3.14159265358979,-1.5707963267949,0,rear_left_steer_link,0,0,-1,,,,,,,,,,,,
